,title,subtitle,link
0,A BLUE ERA,"How Chelsea could line up after January spree with Felix, Fernandez & Badiashile",https://www.thesun.co.uk/sport/20875961/chelsea-line-up-transfer-fernandez-badiashile-felix/
1,GAK TO GO,PSV 'had a knife to their throat' as they were forced to sell Gakpo to Liverpool,https://www.thesun.co.uk/sport/20876107/psv-eindhoven-transfer-sell-cody-gakpo-liverpool/
2,LOVE HURTS,Love Island star rejected by Laura Woods responds after she turned down dinner,https://www.thesun.co.uk/sport/20874606/laura-woods-love-island-charlie-brake-response-dinner/
3,JACK SET TO LEA-VE,Man City 'prepared to offer Grealish in sensational swap deal for Leao',https://www.thesun.co.uk/sport/20874073/man-city-jack-grealish-transfer-swap-rafael-leao/
4,FLASHY,Win a Mercedes G Wagon or £130k cash alternative from 89p with our discount code,https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
5,NO MAR PARTYING,Lisandro Martinez misses Nicolas Tagliafico's wedding to return to Man Utd,https://www.thesun.co.uk/sport/20876763/lisandro-martinez-nicolas-tagliafico-wedding/
6,BET OFF,Random Portuguese star Betinho baffled after being listed as Man Utd player,https://www.thesun.co.uk/sport/20877119/betinho-listed-manchster-united-reveals-birthday/
7,JUR THE MAN,Chelsea to 'accelerate interest' in Celtic star Josip Juranovic,https://www.thesun.co.uk/sport/football/20877171/chelsea-accelerate-interest-celtic-josip-juranovic/
8,DAV ANOTHER GO,Fans say the same thing as De Gea saves shot with his CHEST in Man Utd win,https://www.thesun.co.uk/sport/20876725/de-gea-chest-save-man-utd-nottingham-forest/
9,Q-WIK WITTED,Arsenal and Man Utd fans in hilarious Wikipedia tug-of-war over Rafael Leao,https://www.thesun.co.uk/sport/20875670/rafael-leao-man-utd-wikipedia-transfer/
10,MEX SYMBOL,Mexico's sexiest fan goes topless in tight leggings and Santa hat in Xmas post,https://www.thesun.co.uk/sport/20876440/mexico-yanet-garcia-topless-skintight-santa-christmas/
11,MORE THAN MATES,Rashford's touching message to Lingard as ex-Man Utd team-mates reunited,https://www.thesun.co.uk/sport/20874249/marcus-rashford-message-jesse-lingard-man-utd/
12,STRIKER POSER,Ten Hag breaks silence on Gakpo transfer snub and admits Utd 'need numbers',https://www.thesun.co.uk/sport/20873303/erik-ten-hag-cody-gakpo/
13,BELL BOYS,Real Madrid 'step up Bellingham transfer chase' to get ahead of European rivals,https://www.thesun.co.uk/sport/20876110/real-madrid-jude-bellingham-transfer/
14,MESSED IT UP,Ex-Prem and Barcelona ace once dubbed 'the next Messi' leaves TENTH club,https://www.thesun.co.uk/sport/20875580/premier-league-barcelona-lionel-messi-stoke-bojan-krkic/
15,SHIRT GRAB,I was shocked when football fans tried to grab Dan Burn's shirt off my son,https://www.thesun.co.uk/sport/20869889/football-mad-son-pulled-ten-foot-air/
16,REE-AL PROBLEM,James goes off with knee injury in first game back in huge blow to Chelsea,https://www.thesun.co.uk/sport/20871579/reece-james-injury-chelsea-bournemouth/
17,CHELSEA VERDICT,"Blues must sort No9 issue to make top four, nobody knows Havertz's position",https://www.thesun.co.uk/sport/20872281/chelsea-verdict-number-nine-havertz/
18,CHELSEA RATINGS,Havertz and Mount put World Cup heartache behind them to star in easy win,https://www.thesun.co.uk/sport/20870985/chelsea-ratings-bournemouth-kai-havertz-mason-mount/
19,FREE BETS,Free bets - Best betting offers in December 2022,https://www.thesun.co.uk/betting/20812234/free-bets/
20,WOULD SHE EVA,Ex-Chelsea doc Eva Carneiro answers fans' plea for return after James injury,https://www.thesun.co.uk/sport/20874646/chelsea-eva-carneiro-fans-reece-james-injury/
21,JOAO MUCH?,"Felix would cost Man Utd more than £500,000 PER MATCH with no option to buy",https://www.thesun.co.uk/sport/20874265/joao-felix-cost-manchester-united-atletico-madrid-transfers/
22,SING WHEN YOU BIN HIM,Utd fans sing Ronaldo song vs Forest but change name to hail new hero,https://www.thesun.co.uk/sport/20873098/man-utd-fans-sing-cristiano-ronaldo-chant-nottingham-forest/
23,VOICING CONCERNS,"Kylian Mbappe bizarrely changes his voice in interviews, moans Rabiot",https://www.thesun.co.uk/sport/20875231/kylian-mbappe-voice-adrien-rabiot/
24,FREEBIE,Get £30 in free bets to spend on horse racing today with Sky Bet - 18+ T&Cs apply,https://www.thesun.co.uk/sport/horseracing/19933633/sky-bet-sign-up-free-bets-30/
25,MYA BOOTS,West Ham star Benrahma's rumoured Wag Mya Mills rates his shoe collection,https://www.thesun.co.uk/sport/20875036/west-ham-benrahma-rumoured-wag-mya-mills-jesus/
26,TAKING THE CHRIS,Smalling 'given Roma contract ultimatum' as ace linked with Juve and Inter,https://www.thesun.co.uk/sport/20874674/chris-smalling-roma-contract-transfer/
27,LOOKING SHARPE,Former Man Utd star names three players Erik ten Hag should sign in January,https://www.thesun.co.uk/sport/20875621/manchester-united-erik-ten-hag-january-transfer-window/
28,BE ALL AND ENZ ALL,Chelsea 'meet Enzo Fernandez's £105m Benfica release clause',https://www.thesun.co.uk/sport/20871688/chelsea-enzo-fernandez-benfica-transfer/
29,WELCOME,Bonus offer: Get £20 in free bets with Virgin Bet when you bet £10 on football,https://www.thesun.co.uk/sport/betting-tips/19555308/football-betting-offer-free-bets-virgin/
30,LAUR CLASS,ITV's Laura Woods knocks back Love Island star with classy reply to date request,https://www.thesun.co.uk/sport/20868155/laura-woods-rejects-love-island-dinner-arsenal/
31,GARD LUCK,Lingard injured on Man Utd return but fans give former star reason to smile,https://www.thesun.co.uk/sport/20872803/jesse-lingard-endures-miserable-return-man-united/
32,CHECK MATE,World Cup's sexiest fan Ivana Knoll stuns with poolside snap in turquoise dress,https://www.thesun.co.uk/sport/20870239/world-cups-hottest-fan-ivana-knoll-stun/
33,MAN UTD RATINGS,Rashford answers call to arms but Antony suffering World Cup hangover,https://www.thesun.co.uk/sport/20872215/man-utd-ratings-ten-hag-antony/
34,RON TURN,Ten Hag might not need to replace Ronaldo as Rashford and Martial shine,https://www.thesun.co.uk/sport/20873165/man-utd-ronaldo-rashford-martial/
35,NOT VERY NICE,Ramsey has NOT returned to Nice after finding World Cup exit 'hard to digest',https://www.thesun.co.uk/sport/20873251/ramsey-nice-world-cup-wales/
